gene	Ot-F6-AH	Ot-F6-E	Ot-F6-G	Ot-F6-L	Ot-F6-PH	Ot-F7-AH	Ot-F7-E	Ot-F7-G	Ot-F7-L	Ot-F7-PH	Ot-F8-AH	Ot-F8-E	Ot-F8-G	Ot-F8-L	Ot-F8-PH	Ot-F9-AH	Ot-F9-E	Ot-F9-G	Ot-F9-L	Ot-F9-PH	Ot-F10-AH	Ot-F10-E	Ot-F10-G	Ot-F10-L	Ot-F10-PH	Ot-F11-AH	Ot-F11-G	Ot-F11-L	Ot-F11-PH	Ot-M2-AH	Ot-M2-E	Ot-M2-G	Ot-M2-L	Ot-M2-PH	Ot-M4-AH	Ot-M4-E	Ot-M4-G	Ot-M4-L	Ot-M4-PH	Ot-M7-AH	Ot-M7-E	Ot-M7-G	Ot-M7-L	Ot-M7-PH	Ot-M9-AH	Ot-M9-E	Ot-M9-G	Ot-M9-L	Ot-M9-PH	Ot-M11-AH	Ot-M11-E	Ot-M11-G	Ot-M11-L	Ot-M11-PH	Ot-M12-AH	Ot-M12-E	Ot-M12-G	Ot-M12-L	Ot-M12-PH
jg6653.t1	20.0912064329602	14.0725377310644	19.0850677882342	46.5939387934074	39.7094017082835	31.0867972471454	41.1581399728503	40.2052740301081	42.7230628526861	35.9893735420249	18.4007400435658	36.2341504911108	29.226633820817	48.3376660261128	20.1035659603972	28.9197546869058	56.6247650992338	69.3605771808227	96.769644343066	25.2638565571202	92.3709663436148	114.722006257427	52.3363093822719	60.9225089139221	49.4165500573616	54.3355494655252	73.2038912877404	61.0616035954189	70.9995245051879	3.94583924472078	6.9131276886528	22.8725758650946	22.7307204310667	10.0145916930053	27.8660063124176	9.91143349241824	31.6882675440375	23.995305637313	52.3689654522158	3.9474937425389	19.7361759955975	31.7734486659781	22.791768713717	7.94582675074035	6.97448336016823	8.0487553881001	77.1319447955439	22.7587908943213	14.8333705095121	0	10.9396983696038	23.8138172074074	16.8084846308134	13.0186244323265	15.7925921363749	28.9383511446056	54.4154450712154	21.142884228272	37.6791402311748
jg6009.t1	44.223054275375	4.99132549360187	73.0761401620175	17.9209072782471	135.172897842873	18.3113574414799	17.1410227655088	54.4863278086104	22.9932065853204	36.131253979473	41.1197996725607	3.9853783106459	128.702257856585	21.2066402274472	112.323256145584	16.0598876919977	44.3374436168454	69.8386655571723	22.1157993649401	103.461042400658	7.51674289011589	13.3431565654983	21.0827546035118	8.13411424542244	84.2654008398948	15.1062554491386	81.1516251042595	16.8379207063959	70.1571919399107	10.0439545180403	15.1631683261682	28.6559118738257	10.0357952828026	15.8923467557877	13.6206773077502	24.2174146538785	46.2219369026528	2.98326301464176	19.9828437236984	21.2620200394573	22.8616033967785	69.5971358859052	12.0618438213163	17.1880390883577	32.570830242068	14.8330323334552	72.6982086909157	7.02592868612156	12.285618173902	54.1149043780413	1.01099682333268	34.1365868355801	9.2515862743129	22.9156005599381	7.04380189346242	14.9759942197746	64.761881213819	16.0361070740846	16.1433050408874
jg5736.t1	0	0	1.00444144895795	0	4.94842867573303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.987191294283039	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00133020087921	0	0	0	0	0
jg5894.t1	93.8225479241251	68.5688465256321	83.7852181091281	187.147035551553	156.047387680661	125.886124178072	156.94450688829	127.73985914749	194.382839564647	124.918488172563	98.2000007630301	102.979079098251	113.844850889591	178.575632305411	81.3696188217098	127.007762524763	205.299918115323	177.039094245714	315.285986319889	148.910393565143	262.089805810246	343.584387830126	206.897984396496	218.523507764371	171.266146637166	242.758090493451	254.846956518236	171.630691462904	230.316982200528	17.2784608521362	148.808375491358	143.556248626941	166.274368561012	103.851391026211	147.727005862137	192.073417113801	226.772736273644	187.431398067423	149.069900691695	89.7588654786335	134.097901640095	210.533105712257	206.732540374491	69.8026177708428	131.723529337267	84.1573153299824	278.488582727887	178.326425317572	102.993799094558	70.5265700180585	153.533963364761	158.52441632295	179.916629376484	90.4141931889884	172.247237633129	149.997203122086	306.455191399423	218.623247960484	132.863908397731
jg6289.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jg5450.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00484859493313	0	0	0	0	0	0	0	0	0	0	0.997911987222876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jg5706.t1	156.921810007048	141.448132189891	364.348983329445	226.287196630196	349.140276106187	168.472968234437	201.520869573726	478.435572378273	239.410365639316	150.861825947238	129.217965809169	207.259446442435	456.729418530178	223.404743279968	149.022504711225	142.12611437826	254.664367214402	597.072118424926	332.553807774246	180.974494291696	272.227261107334	328.274817254809	228.439989328011	220.632128525247	476.518547912026	284.210475188608	234.668081401252	210.921000759209	295.097022598942	48.6461082935949	107.358321843682	265.475631169535	205.389877055939	103.304138035933	155.434511306922	168.040360513539	340.041053128642	167.679057733297	172.555537000062	114.890779947124	187.371363807872	396.170681177648	240.612109620714	58.5698390070459	155.743923580504	104.970769867944	569.812106252936	179.941232292903	120.99002101501	118.733387328396	143.975142614312	334.502185615603	236.016544735798	124.393998926371	169.671388325205	138.961153568564	472.924769988652	188.780250913394	165.603692845361
jg5449.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99095963322988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jg5650.t1	406.078207729885	434.622713806151	440.871849523726	356.636457691124	335.328439867944	401.785359698096	462.270905874898	275.374323835301	193.233487050935	164.380523895488	239.367453661496	459.644894331405	519.900026731003	232.232204129448	215.022144347893	224.069680787312	413.853950117186	254.935280511696	223.673975484865	124.761291616245	259.584662659224	401.965224147085	299.832645662527	337.65620141191	247.986041321233	367.404251688168	125.050462618499	337.899619855465	125.060866601294	72.9917345925994	501.646820264344	239.005196944743	288.815022213784	134.052582677898	134.887254684263	327.940072445173	186.142467028943	152.090502930938	110.640235517423	314.346762043841	353.820483685249	264.971336455331	227.194554286209	89.3681895994876	269.962661303329	382.908063832084	335.986151401039	211.683186201724	151.066642207169	287.856536715096	414.607936994941	176.982430971341	236.980408087687	149.276604540956	189.352528475044	306.67592564796	284.417018951155	230.002339229141	128.527162456704
jg6406.t1	41.8099478178515	29.0074054822492	27.8196027847144	63.331065644509	35.0376282219574	63.1207621718514	60.9087759843144	35.3062798272701	64.5405201428846	56.6925090401425	42.4040629335003	43.1798722313877	33.43055541439	47.793425803679	30.3748433016038	30.6861014523148	34.041465854146	50.8922336923474	70.3296962939561	43.6496914983124	29.1644138826897	91.9971328510304	56.1698562597498	33.2888550814739	47.6682347279806	50.09611638687	23.0349132951848	17.2073068593404	58.4061659511489	3.61920715526514	25.2102068700712	26.8920622075115	33.3955044595882	21.960722850219	8.15039885067553	19.9129706308476	23.8720034050069	8.85053376313273	12.7992217387306	16.3624795258052	10.7305751409761	37.0913260827082	43.50192977427	14.346610057974	11.653668530053	22.3547986105631	52.4713268381556	32.0480917595043	25.2298326532274	3.8848804874312	23.5583079800127	34.4312963776608	51.5744661886765	34.8712438099605	26.2598029597218	42.4946423098005	73.1427983582049	23.0762979299591	47.2022905753723
jg5654.t1	0	0	0	0	1.05739467337073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jg6697.t1	188.105166076471	173.736849525381	190.439283552241	354.78131040445	269.996752052915	331.509714390942	370.591151242391	332.782392964679	462.579527231835	288.556389350747	174.490175531732	195.828011098779	246.454822741152	370.659120444051	214.111880129634	279.099419424716	380.124430527798	372.817254298106	601.323932219383	404.053108864726	486.290120614249	812.964886907552	540.985596903914	491.047459367749	528.579719637707	655.675806365151	505.863796395396	377.674192752679	629.568113304098	65.2177726836742	297.588914791502	285.204298752427	400.361099393138	208.464201856957	312.380099356324	385.900718545533	528.445190641473	304.541716116749	269.007782477686	383.883474143328	450.04813504237	597.246385464481	598.09470109851	223.973655782041	364.99986983519	318.294874803465	656.22152977482	475.166370498555	274.033117476587	280.419741574552	318.512615988224	424.660210310196	548.39548962643	240.297767783344	354.635305725736	329.059555244392	607.91034072981	481.234688878954	309.951590706768
jg7224.t1	269.544788069559	250.534652905668	375.286168966764	367.880483083484	427.79088065398	327.7515172866	348.846232584985	586.925023605162	423.50435988576	321.685990400231	307.806296277871	292.140381336173	511.570105947232	329.051440064843	264.018915441923	256.435144466344	410.395734770372	671.121973378339	483.327260159998	376.755472040289	395.568155771772	438.148171686728	373.472545878878	351.104569100809	520.750199467825	347.780397610326	455.851197420702	358.340269183546	400.216380986139	95.6431331740118	363.184098745723	330.309105587457	342.615964517722	165.96712135025	202.724888620203	411.580421705492	431.763484762706	283.740031658341	226.623227146773	190.686719590696	286.485471304042	428.906645486766	383.882005474655	133.514800706751	362.022501375489	266.228192677081	700.359603564976	409.407909698286	268.130619551241	316.327506606366	293.431296688311	407.061648047763	363.638469906639	235.487335542023	301.603495426992	314.760057287116	592.012826489708	343.543532400859	304.110599211815
jg5741.t1	0	0	0	0	0	0	0	0	0	0	0	1.00963453978574	0	0	1.0154012253965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.960954179858052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
