OT_ID	Gene.Ontology.IDs
jg5736.t1	GO:0042302
jg5894.t1	GO:0003678,GO:0003684,GO:0005524,GO:0005634,GO:0005675,GO:0005737,GO:0005819,GO:0006289,GO:0006366,GO:0006979,GO:0007059,GO:0016887,GO:0035315,GO:0043139,GO:0045951,GO:0046872,GO:0051539,GO:0070516,GO:0071817,GO:1901990
jg6289.t1	GO:0000122,GO:0005737,GO:0005829,GO:0006355,GO:0016477,GO:0019900,GO:0035330,GO:0035331,GO:0046621,GO:0060090
jg5450.t1	GO:0005198,GO:0019028
jg5449.t1	GO:0005198,GO:0019029
jg5650.t1	GO:0002121,GO:0008049,GO:0008343,GO:0008344,GO:0051260,GO:2000130
jg6406.t1	GO:0005739,GO:0005743,GO:0034551,GO:0044877
jg5654.t1	GO:0000139,GO:0000209,GO:0002250,GO:0002495,GO:0004842,GO:0005737,GO:0005764,GO:0005765,GO:0005768,GO:0005789,GO:0006955,GO:0008270,GO:0016567,GO:0031901,GO:0031902,GO:0042287,GO:0042289,GO:0045347,GO:0061630
jg6697.t1	GO:0005634
jg7224.t1	GO:0005634,GO:0005829,GO:0005886,GO:0005942,GO:0009968,GO:0016567,GO:0017124,GO:0035556,GO:0046854,GO:0046935
jg5741.t1	
jg7433.t1	GO:0005096,GO:0005737,GO:0005768,GO:0005794,GO:0030334,GO:0031267,GO:0031982,GO:0032880
jg7182.t1	GO:0005506,GO:0005789,GO:0020037,GO:0070330
jg6189.t1	GO:0005506,GO:0005789,GO:0020037,GO:0070330
jg6097.t1	GO:0000785,GO:0008757,GO:0010629,GO:0016279,GO:0032259,GO:0042826
jg7088.t1	GO:0005576,GO:0005581,GO:0005602,GO:0006955,GO:0006958,GO:0010033,GO:0042802,GO:0045087,GO:0045202,GO:0048839,GO:0051384,GO:0062167,GO:0098794,GO:0098883
jg5856.t1	GO:0001822,GO:0004957,GO:0005654,GO:0005737,GO:0005829,GO:0006693,GO:0007179,GO:0007565,GO:0007567,GO:0016323,GO:0016404,GO:0016616,GO:0019372,GO:0030728,GO:0032355,GO:0032496,GO:0042802,GO:0043065,GO:0045471,GO:0045786,GO:0051287,GO:0070062,GO:0070403,GO:0070493,GO:0097070,GO:1904707,GO:1905828
jg5856.t2	GO:0004022
jg5422.t1	GO:0004623,GO:0005509,GO:0005576,GO:0006644,GO:0016042,GO:0050482,GO:0090729
jg6493.t1	GO:0000122,GO:0005634,GO:0008270
jg5604.t1	GO:0042302
jg6286.t1	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0006508,GO:0008270,GO:0015074
jg5257.t1	GO:0000064,GO:0001618,GO:0005290,GO:0005886,GO:0006865,GO:0009925,GO:0015171,GO:0015174,GO:0015189,GO:0015807,GO:0015819,GO:0015822,GO:0016020,GO:0016323,GO:0016324,GO:0032991,GO:0042102,GO:0061459,GO:0089718,GO:0097638,GO:0150104,GO:1903352,GO:1903810,GO:1903826
jg5605.t1	GO:0000139,GO:0001713,GO:0003015,GO:0005154,GO:0005615,GO:0005783,GO:0005789,GO:0005886,GO:0007166,GO:0007173,GO:0007298,GO:0007391,GO:0007421,GO:0007422,GO:0007438,GO:0007476,GO:0008284,GO:0008355,GO:0010629,GO:0016020,GO:0016318,GO:0030297,GO:0035225,GO:0035277,GO:0043066,GO:0043703,GO:0046530,GO:0048018,GO:0048149,GO:0048865,GO:0050769,GO:0061331,GO:0070374,GO:1903688
jg5763.t1	GO:0005634,GO:0005794,GO:0006890,GO:0017119,GO:0032580,GO:0042802
jg6736.t1	GO:0003729,GO:0005634,GO:0005737,GO:0005849,GO:0006378,GO:0006397,GO:0010608,GO:0030154,GO:0031124,GO:0035925,GO:0042382,GO:0042802,GO:0051290,GO:0110104,GO:1990120,GO:2000738,GO:2000975
jg7432.t1	GO:0003677,GO:0008170,GO:0009007,GO:0009307
jg6858.t1	GO:0003677,GO:0003887,GO:0006260,GO:0006281,GO:0008310,GO:0046872
jg6940.t1	GO:0016020,GO:0020002,GO:0030430,GO:0039660,GO:0039702,GO:0044423
jg6557.t1	
jg6420.t1	GO:0005576,GO:0005634,GO:0005739,GO:0005811,GO:0009247,GO:0016020,GO:0016491,GO:0030496,GO:0031093
jg6076.t1	GO:0005179,GO:0005576,GO:0005615,GO:0006094,GO:0010906,GO:0035774,GO:0043491,GO:0045721,GO:0046323,GO:0046324,GO:0046326,GO:0046628,GO:0050728,GO:0051649,GO:0051897
jg6566.t1	GO:0000122,GO:0000978,GO:0000981,GO:0001228,GO:0003677,GO:0003700,GO:0005634,GO:0005654,GO:0005667,GO:0006355,GO:0006357,GO:0007283,GO:0009887,GO:0021670,GO:0021987,GO:0030534,GO:0035914,GO:0045892,GO:0045893,GO:0045944,GO:0048701,GO:0048856,GO:0071542
jg6566.t2	GO:0000122,GO:0000978,GO:0000981,GO:0001228,GO:0003677,GO:0003700,GO:0005634,GO:0005654,GO:0005667,GO:0006355,GO:0006357,GO:0007283,GO:0009887,GO:0021670,GO:0021987,GO:0030534,GO:0035914,GO:0045892,GO:0045893,GO:0045944,GO:0048701,GO:0048856,GO:0071542
jg7337.t1	GO:0003723,GO:0008033,GO:0008251,GO:0043829,GO:0046872
jg7149.t1	GO:0004560,GO:0005576,GO:0005764,GO:0006004,GO:0016139
jg7005.t1	GO:0004314,GO:0005739,GO:0006633
jg5881.t1	GO:0000444,GO:0005634,GO:0051301,GO:0051315,GO:0051382
jg6522.t1	GO:0000287,GO:0003924,GO:0005525,GO:0005737,GO:0042254
jg5942.t1	GO:0004867,GO:0005615,GO:0005743,GO:0005783,GO:0005829,GO:0005886,GO:0009986,GO:0016209,GO:0016653,GO:0019862,GO:0020027,GO:0020037,GO:0030163,GO:0030246,GO:0031965,GO:0034614,GO:0035374,GO:0042803,GO:0051604,GO:0062023,GO:0098633,GO:0098869,GO:1903606
jg7290.t1	GO:0004177,GO:0004180,GO:0005634,GO:0005737,GO:0005925,GO:0006508,GO:0008233,GO:0008235,GO:0030145,GO:0070006,GO:0070062
