gene	OT2_ID	pident	eval	OT2_description
jg10	XP_022910337.1	93.953	1.18e-144	uncharacterized protein LOC111421419
jg100	XP_022902730.1	100	0	rhomboid-related protein 2
jg1000	XP_022904007.1	100	0	uncharacterized protein LOC111416270
jg10001	XP_022911829.1	99.668	0	methionine--tRNA ligase, cytoplasmic
jg10002	XP_022911830.1	100	3.72e-94	uncharacterized protein LOC111422821
jg10003	XP_022911900.1	99.786	0	uncharacterized protein LOC111422874
jg10004	XP_022911882.1	99.806	0	uncharacterized protein LOC111422859
jg10005	XP_022911796.1	100	2.64e-160	vacuolar protein sorting-associated protein 28 homolog
jg10006	XP_022911783.1	100	4.33e-120	60S ribosomal protein L12
jg10007	XP_022911842.1	100	3.46e-180	non-structural maintenance of chromosomes element 1 homolog
jg10008	XP_022911843.1	100	7.51e-110	nucleoredoxin-like protein 1
jg10009	XP_022911845.1	100	9.32e-159	DNA-directed RNA polymerases I, II, and III subunit RPABC1
jg1001	XP_022911052.1	97.26	1.88e-48	uncharacterized protein LOC111422078
jg10010	XP_022911848.1	99.909	0	zinc finger SWIM domain-containing protein 4-like isoform X3
jg10010.t2	XP_022911848.1	99.547	0	zinc finger SWIM domain-containing protein 4-like isoform X3
jg10011	XP_022911849.1	98.318	0	uncharacterized protein LOC111422835 isoform X1
jg10012	XP_022911885.1	100	1.44e-136	RING finger and CHY zinc finger domain-containing protein 1-like
jg10013	XP_022911859.1	100	0	RING finger and CHY zinc finger domain-containing protein 1-like isoform X2
jg10013.t2	XP_022911858.1	100	0	RING finger and CHY zinc finger domain-containing protein 1-like isoform X1
jg10015	XP_022911835.1	99.757	0	abhydrolase domain-containing protein 2
jg10017	XP_022911790.1	97.77	0	lachesin
jg10019	XP_022911873.1	100	0	acidic amino acid decarboxylase GADL1-like
jg10020	XP_022911746.1	94.118	6.01e-66	protein doublesex-like
jg10022	XP_022911746.1	83.041	8.29e-101	protein doublesex-like
jg10023	XP_022911742.1	100	0	homeobox protein prospero isoform X2
jg10023.t2	XP_022911741.1	100	0	homeobox protein prospero isoform X1
jg10027	XP_022911890.1	100	0	pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like
jg10028	XP_022911747.1	39.583	8.19e-38	uncharacterized protein LOC111422762
jg10029	XP_022911747.1	98.182	1.67e-77	uncharacterized protein LOC111422762
jg1003	XP_022904006.1	82.938	1.42e-121	uncharacterized protein LOC111416269
jg10030	XP_022911914.1	98.83	6.13e-124	uncharacterized protein LOC111422885
jg10031	XP_022911747.1	80.473	1.59e-99	uncharacterized protein LOC111422762
jg10032	XP_022911747.1	41.732	8.42e-34	uncharacterized protein LOC111422762
jg10033	XP_022911747.1	83.432	4.53e-104	uncharacterized protein LOC111422762
jg10034	XP_022911828.1	100	0	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
jg10035	XP_022911869.1	90	0	probable methyltransferase-like protein 15 homolog
jg10036	XP_022911902.1	97.748	0	C-1-tetrahydrofolate synthase, cytoplasmic-like
jg10037	XP_022911778.1	99.466	0	C-1-tetrahydrofolate synthase, cytoplasmic
jg10038	XP_022911812.1	100	1.09e-45	uncharacterized protein LOC111422805
jg10039	XP_022911911.1	100	0	uncharacterized protein LOC111422883
jg1004	XP_022901405.1	94.293	0	uncharacterized protein LOC111414325
jg10040	XP_022911910.1	100	6.84e-44	protein Asterix-like isoform X2
jg10041	XP_022911908.1	99.675	0	protein bunched, class 2/F/G isoform-like isoform X1
jg10042	XP_022911913.1	99.51	7.41e-150	uncharacterized protein LOC111422884
jg10043	XP_022918643.1	41.807	7.7e-106	adenosine deaminase 2-like
jg10045	XP_022911904.1	82.584	1.52e-81	polysialoglycoprotein-like
jg10048	XP_022911948.1	100	0	cyclin-J
jg10049	XP_022911834.1	100	4.55e-171	centrosomal and chromosomal factor
jg1005	XP_022902868.1	38.389	1.8e-45	uncharacterized protein LOC111415412
jg10052	XP_022911927.1	100	0	tubulin alpha-1 chain-like
jg10053	XP_022911947.1	100	4.5e-90	uncharacterized protein LOC111422905
jg10055	XP_022911795.1	100	9.5e-100	mitochondrial intermembrane space import and assembly protein 40
jg10056	XP_022911749.1	99.758	0	hypoxia-inducible factor 1-alpha isoform X2
jg10057	XP_022911814.1	99.736	0	uncharacterized protein LOC111422806
jg10059	XP_022911916.1	100	0	protein fork head
jg10060	XP_022910488.1	44.554	4.36e-22	uncharacterized protein LOC111421548
jg10063	XP_022911883.1	98.873	0	putative transferase CAF17 homolog, mitochondrial
jg10064	XP_022911884.1	98.519	1.94e-91	cysteine-rich DPF motif domain-containing protein 1
jg10065	XP_022917580.1	64.096	0	kynurenine--oxoglutarate transaminase 3 isoform X1
jg10066	XP_022911864.1	100	0	KAT8 regulatory NSL complex subunit 2 isoform X2
jg10068	XP_022911757.1	99.813	0	cyclin-T isoform X1
jg10069	XP_022911860.1	98.206	0	uncharacterized protein LOC111422841
jg10070	XP_022911837.1	99.848	0	dymeclin isoform X1
jg10070.t2	XP_022911837.1	98.323	0	dymeclin isoform X1
jg10071	XP_022911839.1	99.776	0	sulfide:quinone oxidoreductase, mitochondrial-like
jg10072	XP_022911841.1	100	1.42e-104	uncharacterized protein LOC111422830
jg10073	XP_022911926.1	99.809	0	uncharacterized protein LOC111422895
jg10074	XP_022911925.1	100	0	zinc transporter foi
jg10075	XP_022911944.1	99.782	0	G protein-activated inward rectifier potassium channel 3-like
jg10076	XP_022911946.1	99.618	0	G protein-activated inward rectifier potassium channel 3-like isoform X2
jg10077	XP_022911800.1	100	0	uncharacterized protein LOC111422796
jg10078	XP_022904025.1	32.902	3.73e-55	uncharacterized protein LOC111416287 isoform X1
jg10079	XP_022911998.1	41.176	4.2e-32	uncharacterized protein LOC111422979
jg1008	XP_022904015.1	99.01	2.1e-63	piggyBac transposable element-derived protein 4-like
jg10080	XP_022911872.1	100	0	tRNA (adenine(37)-N6)-methyltransferase-like
jg10081	XP_022911930.1	99.508	0	rho guanine nucleotide exchange factor 18 isoform X3
jg10081.t2	XP_022911930.1	99.859	0	rho guanine nucleotide exchange factor 18 isoform X3
jg10082	XP_022911942.1	99.324	6.41e-109	uncharacterized protein C15orf61 homolog
jg10083	XP_022911938.1	99.802	0	glucosylceramidase-like
jg10084	XP_022911939.1	99.543	3.25e-161	uncharacterized protein LOC111422900
jg10085	XP_022911874.1	99.812	0	glucosylceramidase-like
jg10086	XP_022911785.1	98.545	0	ubiquinone biosynthesis O-methyltransferase, mitochondrial
jg10087	XP_022911784.1	100	0	selenide, water dikinase
jg10088	XP_022911768.1	99.596	0	mitotic spindle assembly checkpoint protein MAD1
jg10089	XP_022911769.1	99.274	0	probable RNA-binding protein CG14230
jg1009	XP_022905457.1	43.972	1.08e-34	uncharacterized protein LOC111417420
jg10090	XP_022913932.1	100	0	heavy metal-associated isoprenylated plant protein 33-like
jg10091	XP_022913955.1	99.662	0	uncharacterized protein LOC111424589
jg10092	XP_022913935.1	99.758	0	E3 ubiquitin-protein ligase TRAIP-like
jg10093	XP_022913915.1	100	7.15e-48	60S ribosomal protein L29-1-like
jg10094	XP_022913918.1	99.794	0	vacuolar fusion protein MON1 homolog A
jg10095	XP_022913828.1	99.507	0	leukotriene A-4 hydrolase-like
jg10096	XP_022913827.1	99.179	0	leukotriene A-4 hydrolase-like
jg10097	XP_022913930.1	100	0	pre-mRNA-splicing factor 38
jg10098	XP_022913817.1	99.876	0	pikachurin
jg10099	XP_022913819.1	100	0	putative ferric-chelate reductase 1 homolog
jg101	XP_022902728.1	100	0	Meckel syndrome type 1 protein
jg10100	XP_022913889.1	99.59	0	neurogenic differentiation factor 1-like
jg10101	XP_022913814.1	99.564	0	tyrosine-protein kinase hopscotch
jg10102	XP_022913944.1	99.778	0	transcriptional regulator ATRX homolog isoform X3
jg10103	XP_022913813.1	100	0	unc-112-related protein-like
jg10104	XP_022914730.1	47.862	2.36e-165	glucose-6-phosphate 1-dehydrogenase
jg10105	XP_022913813.1	92.308	1.4e-27	unc-112-related protein-like
jg10106	XP_022913911.1	99.755	0	protein farnesyltransferase subunit beta
jg10107	XP_022913797.1	100	0	uncharacterized protein LOC111424485 isoform X1
jg10108	XP_022913800.1	99.27	4.69e-101	pterin-4-alpha-carbinolamine dehydratase
jg10109	XP_022913796.1	97.412	0	U3 small nucleolar ribonucleoprotein protein MPP10
jg1011	XP_022906257.1	57.576	2.27e-93	uncharacterized protein LOC111418058
jg10110	XP_022913799.1	99.211	0	uncharacterized protein LOC111424486
jg10111	XP_022913956.1	99.415	6.71e-123	uncharacterized protein LOC111424592
jg10114	XP_022913910.1	100	0	serine/threonine-protein kinase TBK1, partial
jg10115	XP_022913782.1	99.598	0	polyribonucleotide nucleotidyltransferase 1, mitochondrial
